battery_id,baseline_rmse_percent,shuffle_rmse_percent,rmse_delta_percent,baseline_mae_percent,shuffle_mae_percent,mae_delta_percent
B0005,1.6659864478526472,1.536441112801276,-0.1295453350513711,1.4386441632171973,1.2877625814727858,-0.15088158174441157
B0006,2.1005211231896417,1.982658557671002,-0.1178625655186396,1.5237768463674182,1.4433959719497549,-0.08038087441766328
B0007,1.6878647038705241,1.6469112715783298,-0.04095343229219428,1.1069391935698094,1.082444035208794,-0.024495158361015346
B0018,1.706221509459565,1.9076744351834953,0.20145292572393037,1.3303976062160927,1.459219713237279,0.12882210702118635
