name,overall_row_rmse_percent,balanced_dataset_rmse_percent,nasa_row_rmse_percent,calce_row_rmse_percent,lg_row_rmse_percent
baseline,0.3698468239516827,0.3450939190073868,0.5359402525989602,0.46819065316522,0.031150851257980235
nasa_roll_w3_b025,0.37332535159234786,0.34680857426073536,0.5410842183590057,0.46819065316522,0.031150851257980235
nasa_roll_w5_b025,0.37894390097375874,0.349577423387184,0.5493907657383519,0.46819065316522,0.031150851257980235
nasa_roll_w3_b035,0.3797933659498712,0.349995973067377,0.5506464147789308,0.46819065316522,0.031150851257980235
nasa_roll_w7_b025,0.3837845253232241,0.35196226085679533,0.5565452781471856,0.46819065316522,0.031150851257980235
nasa_roll_w9_b025,0.38756111631428486,0.3538224795575973,0.5621259342495918,0.46819065316522,0.031150851257980235
nasa_roll_w11_b025,0.39045260975341123,0.3552464998674119,0.5663979951790354,0.46819065316522,0.031150851257980235
nasa_roll_w5_b035,0.391166500427287,0.35559805100859965,0.5674526486025988,0.46819065316522,0.031150851257980235
nasa_roll_w3_b05,0.39453894594598954,0.3572586331924746,0.5724343951542237,0.46819065316522,0.031150851257980235
nasa_roll_w7_b035,0.4008017463647285,0.3603417430570732,0.5816837247480194,0.46819065316522,0.031150851257980235
nasa_roll_w9_b035,0.40786678989818015,0.36381877996866496,0.5921148354827945,0.46819065316522,0.031150851257980235
nasa_roll_w11_b035,0.41322036811885676,0.36645284564983394,0.6000170325263017,0.46819065316522,0.031150851257980235
nasa_roll_w3_b065,0.41474378229795206,0.36720229195148235,0.6022653714312469,0.46819065316522,0.031150851257980235
nasa_roll_w5_b05,0.41748784656139587,0.3685521263427005,0.6063148746049013,0.46819065316522,0.031150851257980235
nasa_roll_w7_b05,0.4364318335511655,0.37786712840969505,0.6342598808058849,0.46819065316522,0.031150851257980235
nasa_roll_w9_b05,0.4495977536569025,0.38433742878147115,0.6536707819212131,0.46819065316522,0.031150851257980235
nasa_roll_w5_b065,0.4518626632196606,0.3854502319379806,0.6570091913907417,0.46819065316522,0.031150851257980235
nasa_roll_w11_b05,0.45944357426601,0.38917436187886373,0.668181581213391,0.46819065316522,0.031150851257980235
nasa_roll_w7_b065,0.48173398977177107,0.4001199806762716,0.7010184376056143,0.46819065316522,0.031150851257980235
nasa_roll_w9_b065,0.5017841060387173,0.40996026994817214,0.7305393054213161,0.46819065316522,0.031150851257980235
nasa_roll_w11_b065,0.5166182494943057,0.4172378033382517,0.7523719055915549,0.46819065316522,0.031150851257980235
